City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yellowknife,62.456,-114.3525,279.15,52.0,20.0,3.6,CA,1618956654.0
sola,-13.8833,167.55,303.15,84.0,75.0,7.13,VU,1618956844.0
cape town,-33.9258,18.4232,289.26,88.0,0.0,3.09,ZA,1618956254.0
qaanaaq,77.484,-69.3632,255.84,73.0,99.0,2.6,GL,1618956618.0
ayan,56.45,138.1667,270.8,73.0,68.0,4.07,RU,1618956845.0
la ronge,55.1001,-105.2842,281.15,25.0,81.0,3.09,CA,1618956761.0
vaini,-21.2,-175.2,302.15,74.0,20.0,3.09,TO,1618956845.0
zaraza,9.3503,-65.3245,303.04,46.0,92.0,6.03,VE,1618956845.0
